patch_index,row,col,split,valid_pixels,change_pixels,no_change_pixels,builtup_pixels,veg_loss_pixels,veg_gain_pixels,other_pixels,change_fraction,builtup_fraction,mean_uncertainty_all,mean_uncertainty_change,mean_uncertainty_nochange,centroid_x,centroid_y
103,1024,768,train,65536,10877,54659,5653,9,5189,26,0.1659698486328125,0.0862579345703125,0.021673452109098434,0.057037826627492905,0.014636034145951271,76.83048079947555,28.847239392816544
104,1024,1024,train,65536,8847,56689,4962,252,3475,158,0.1349945068359375,0.075714111328125,0.024924807250499725,0.07295940816402435,0.017428429797291756,76.853477670749,28.847239392816544
105,1024,1280,train,65536,8787,56749,4518,297,3938,34,0.1340789794921875,0.068939208984375,0.03364119306206703,0.09419450908899307,0.024265138432383537,76.87647454202246,28.847239392816544
106,1024,1536,train,65536,9691,55845,5352,149,4017,173,0.1478729248046875,0.0816650390625,0.02915962040424347,0.07626587897539139,0.020985092967748642,76.89947141329593,28.847239392816544
107,1024,1792,train,65536,9754,55782,5818,140,3686,110,0.148834228515625,0.088775634765625,0.031833451241254807,0.08406178653240204,0.02270083874464035,76.92246828456939,28.847239392816544
108,1024,2048,train,65536,10432,55104,6521,1031,2036,844,0.1591796875,0.0995025634765625,0.03560452535748482,0.08211270719766617,0.026799842715263367,76.94546515584284,28.847239392816544
109,1024,2304,train,65536,8822,56714,5056,393,2890,483,0.134613037109375,0.0771484375,0.022588305175304413,0.059632495045661926,0.016825992614030838,76.9684620271163,28.847239392816544
110,1024,2560,train,65536,8589,56947,4381,40,4032,136,0.1310577392578125,0.0668487548828125,0.020168935880064964,0.05823454633355141,0.014427709393203259,76.99145889838977,28.847239392816544
111,1024,2816,train,65536,9197,56339,4827,49,4264,57,0.1403350830078125,0.0736541748046875,0.033022549003362656,0.06714318692684174,0.027452562004327774,77.01445576966323,28.847239392816544
112,1024,3072,train,65536,8646,56890,3678,40,4870,58,0.131927490234375,0.056121826171875,0.02843853272497654,0.0799657329916954,0.020607559010386467,77.03745264093668,28.847239392816544
113,1024,3328,train,65536,8934,56602,5284,20,3571,59,0.136322021484375,0.08062744140625,0.01863209158182144,0.05539625138044357,0.01282927580177784,77.06044951221014,28.847239392816544
114,1024,3584,train,65536,6429,59107,2999,541,1580,1309,0.0980987548828125,0.0457611083984375,0.030667759478092194,0.09932497888803482,0.02319999411702156,77.0834463834836,28.847239392816544
115,1024,3840,train,65536,7554,57982,4084,229,2585,656,0.115264892578125,0.06231689453125,0.04209829866886139,0.1096225455403328,0.03330111876130104,77.10644325475707,28.847239392816544
116,1024,4096,train,65536,7946,57590,3946,288,3263,449,0.121246337890625,0.060211181640625,0.03162015601992607,0.0947054922580719,0.02291593700647354,77.12944012603053,28.847239392816544
117,1024,4352,train,65536,9241,56295,5322,40,3732,147,0.1410064697265625,0.081207275390625,0.017400454729795456,0.052094507962465286,0.011705317534506321,77.15243699730398,28.847239392816544
118,1024,4608,train,65536,9645,55891,5739,52,3745,109,0.1471710205078125,0.0875701904296875,0.020123323425650597,0.06054656580090523,0.013147566467523575,77.17543386857744,28.847239392816544
119,1024,4864,train,65536,12132,53404,6847,8,5192,85,0.18511962890625,0.1044769287109375,0.02861364558339119,0.06642977148294449,0.0200228039175272,77.1984307398509,28.847239392816544
120,1024,5120,train,65536,11110,54426,6715,13,4335,47,0.169525146484375,0.1024627685546875,0.03402230516076088,0.08010151982307434,0.024616140872240067,77.22142761112437,28.847239392816544
121,1024,5376,train,65536,10897,54639,5556,31,5141,169,0.1662750244140625,0.08477783203125,0.02573755756020546,0.06988631188869476,0.016932696104049683,77.24442448239782,28.847239392816544
122,1024,5632,train,65536,10670,54866,5938,130,4336,266,0.162811279296875,0.090606689453125,0.027854543179273605,0.06797386705875397,0.020052388310432434,77.26742135367128,28.847239392816544
123,1024,5888,train,65536,10567,54969,5085,14,5378,90,0.1612396240234375,0.0775909423828125,0.024863271042704582,0.06317266821861267,0.017498841509222984,77.29041822494474,28.847239392816544
124,1024,6144,train,65536,9844,55692,4943,34,4658,209,0.15020751953125,0.0754241943359375,0.02481915056705475,0.06352740526199341,0.017977161332964897,77.31341509621821,28.847239392816544
125,1280,0,train,65536,9561,55975,4031,85,5371,74,0.1458892822265625,0.0615081787109375,0.02707608789205551,0.0722951665520668,0.01935228705406189,76.76149018565516,28.824242521543084
126,1280,256,train,65536,8911,56625,4193,21,4507,190,0.1359710693359375,0.0639801025390625,0.027019619941711426,0.0801030695438385,0.018665950745344162,76.78448705692863,28.824242521543084
127,1280,512,train,65536,10227,55309,5146,44,4973,64,0.1560516357421875,0.078521728515625,0.025442801415920258,0.06119706854224205,0.01883159764111042,76.80748392820209,28.824242521543084
128,1280,768,train,65536,9179,56357,5447,185,3357,190,0.1400604248046875,0.0831146240234375,0.028846951201558113,0.07997262477874756,0.02051999233663082,76.83048079947555,28.824242521543084
129,1280,1024,train,65536,10274,55262,5902,72,4226,74,0.156768798828125,0.090057373046875,0.029040884226560593,0.07569528371095657,0.02036716416478157,76.853477670749,28.824242521543084
130,1280,1280,train,65536,11331,54205,5993,3,5334,1,0.1728973388671875,0.0914459228515625,0.038751158863306046,0.0868690088391304,0.028692614287137985,76.87647454202246,28.824242521543084
131,1280,1536,train,65536,10212,55324,5475,36,4689,12,0.15582275390625,0.0835418701171875,0.032827481627464294,0.09197346121072769,0.02191000245511532,76.89947141329593,28.824242521543084
132,1280,1792,train,65536,10256,55280,5622,1365,2697,572,0.156494140625,0.085784912109375,0.048216793686151505,0.14401055872440338,0.030444353818893433,76.92246828456939,28.824242521543084
133,1280,2048,train,65536,11180,54356,6994,1089,2179,918,0.17059326171875,0.106719970703125,0.042479097843170166,0.09148543328046799,0.03239941969513893,76.94546515584284,28.824242521543084
134,1280,2304,train,65536,8670,56866,5037,325,2935,373,0.132293701171875,0.0768585205078125,0.022559063509106636,0.06015966460108757,0.016826339066028595,76.9684620271163,28.824242521543084
135,1280,2560,train,65536,8741,56795,4565,71,3948,157,0.1333770751953125,0.0696563720703125,0.02348344400525093,0.06784173846244812,0.016656506806612015,76.99145889838977,28.824242521543084
136,1280,2816,train,65536,8865,56671,3810,25,4997,33,0.1352691650390625,0.058135986328125,0.021524900570511818,0.059677235782146454,0.01555676106363535,77.01445576966323,28.824242521543084
137,1280,3072,train,65536,7604,57932,3556,16,3983,49,0.11602783203125,0.05426025390625,0.018842177465558052,0.04923679679632187,0.014852658845484257,77.03745264093668,28.824242521543084
138,1280,3328,train,65536,7893,57643,4787,221,2635,250,0.1204376220703125,0.0730438232421875,0.03859517350792885,0.06713564693927765,0.03468715399503708,77.06044951221014,28.824242521543084
139,1280,3584,train,65536,8695,56841,4651,719,2582,743,0.1326751708984375,0.0709686279296875,0.03910769522190094,0.11406435072422028,0.027641529217362404,77.0834463834836,28.824242521543084
140,1280,3840,train,65536,7616,57920,3627,512,2020,1457,0.1162109375,0.0553436279296875,0.03188421204686165,0.08107677102088928,0.025415800511837006,77.10644325475707,28.824242521543084
141,1280,4096,train,65536,7587,57949,3774,492,2908,413,0.1157684326171875,0.057586669921875,0.02982073836028576,0.06810163706541061,0.024808794260025024,77.12944012603053,28.824242521543084
142,1280,4352,train,65536,8901,56635,5616,176,2743,366,0.1358184814453125,0.085693359375,0.026163626462221146,0.07096365839242935,0.019122660160064697,77.15243699730398,28.824242521543084
143,1280,4608,train,65536,9561,55975,4981,44,4470,66,0.1458892822265625,0.0760040283203125,0.02323514223098755,0.06491318345069885,0.016116183251142502,77.17543386857744,28.824242521543084
144,1280,4864,train,65536,11565,53971,5600,3,5919,43,0.1764678955078125,0.08544921875,0.024555642157793045,0.06214282289147377,0.016501396894454956,77.1984307398509,28.824242521543084
145,1280,5120,train,65536,10847,54689,6787,188,3812,60,0.1655120849609375,0.1035614013671875,0.041707102209329605,0.11861294507980347,0.026453617960214615,77.22142761112437,28.824242521543084
146,1280,5376,train,65536,9793,55743,5367,46,4323,57,0.1494293212890625,0.0818939208984375,0.020568283274769783,0.05884718894958496,0.013843396678566933,77.24442448239782,28.824242521543084
